epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
51,9485.58,1.0835,1.51471,0.57353,0.97713,0,0.89681,0.86205,0.89695,0.59492,0.91306,0.8675,0.90664,0.56156,1.26178,1.96155,0.60293,1.09917,0,0.000721645,0.000721645,0.000721645
52,9589.71,1.07972,1.49831,0.58366,0.98658,0,0.90214,0.85398,0.90275,0.58649,0.90219,0.85565,0.90263,0.56334,1.26857,1.95159,0.6033,1.10347,0,0.000707498,0.000707498,0.000707498
53,9694.03,1.07743,1.46644,0.56301,0.98049,0,0.90021,0.84451,0.89862,0.58199,0.90258,0.84706,0.89548,0.55574,1.27718,1.94498,0.61172,1.10774,0,0.000693351,0.000693351,0.000693351
54,9797.94,1.06922,1.49227,0.56567,0.97771,0,0.88771,0.86288,0.89337,0.58244,0.8914,0.86507,0.89513,0.5607,1.27017,1.95257,0.60678,1.10547,0,0.000679204,0.000679204,0.000679204
55,9901.88,1.08649,1.48642,0.56896,0.98105,0,0.88178,0.85989,0.89559,0.58717,0.88519,0.85393,0.89319,0.55357,1.28384,1.96882,0.61303,1.10971,0,0.000665057,0.000665057,0.000665057
56,10005.9,1.0706,1.49795,0.55577,0.98249,0,0.87883,0.85711,0.89072,0.59428,0.88768,0.86418,0.89468,0.56149,1.2461,1.95559,0.60331,1.09574,0,0.000650909,0.000650909,0.000650909
57,10109.8,1.06466,1.48889,0.55603,0.97229,0,0.90377,0.86716,0.90672,0.59834,0.90878,0.87182,0.90271,0.56021,1.24687,1.93179,0.57959,1.09879,0,0.000636762,0.000636762,0.000636762
58,10214.4,1.05789,1.46543,0.55049,0.97073,0,0.91363,0.84965,0.90088,0.59262,0.91378,0.85974,0.90345,0.57159,1.26325,1.95124,0.59188,1.10148,0,0.000622615,0.000622615,0.000622615
59,10320.9,1.07326,1.47699,0.54345,0.98132,0,0.89672,0.85427,0.8977,0.58929,0.909,0.85812,0.90313,0.56193,1.26703,1.93252,0.58205,1.10003,0,0.000608468,0.000608468,0.000608468
60,10432.8,1.03744,1.44204,0.53172,0.97191,0,0.89597,0.86234,0.89433,0.58803,0.8976,0.86439,0.89304,0.56075,1.26544,1.9471,0.60118,1.10355,0,0.000594321,0.000594321,0.000594321
61,10590.7,1.03022,1.44695,0.5319,0.96518,0,0.87062,0.86608,0.89193,0.5886,0.88025,0.86722,0.8909,0.5595,1.27061,1.9469,0.60713,1.11384,0,0.000580174,0.000580174,0.000580174
62,10704.8,1.0344,1.44805,0.52647,0.96656,0,0.87786,0.87468,0.89086,0.58974,0.88141,0.87674,0.89696,0.56624,1.26101,1.98311,0.58744,1.10559,0,0.000566027,0.000566027,0.000566027
63,10884.8,1.04055,1.45193,0.52661,0.96961,0,0.88373,0.85842,0.89058,0.58686,0.89082,0.86501,0.90023,0.56238,1.27133,1.98156,0.60141,1.1135,0,0.00055188,0.00055188,0.00055188
64,11044.1,1.03652,1.42932,0.52645,0.96451,0,0.88884,0.86991,0.89876,0.59041,0.90735,0.8753,0.90721,0.56881,1.2818,1.96353,0.56892,1.11932,0,0.000537733,0.000537733,0.000537733
65,11151.5,1.03861,1.42862,0.5178,0.96057,0,0.89535,0.85463,0.89743,0.58762,0.87771,0.86579,0.89613,0.56726,1.27996,1.99398,0.60179,1.12432,0,0.000523586,0.000523586,0.000523586
66,11365.3,1.01025,1.42118,0.51369,0.95803,0,0.89101,0.85971,0.89506,0.58362,0.89792,0.86052,0.89906,0.56369,1.27126,1.96235,0.58933,1.12132,0,0.000509438,0.000509438,0.000509438
67,11547.4,1.01753,1.43446,0.51148,0.96012,0,0.89406,0.85988,0.8926,0.59597,0.899,0.86467,0.89363,0.56324,1.25906,1.99249,0.57082,1.11654,0,0.000495291,0.000495291,0.000495291
68,11785.4,1.02444,1.436,0.51307,0.95842,0,0.87712,0.88427,0.89469,0.59236,0.87909,0.88347,0.89384,0.57169,1.271,1.97638,0.57245,1.11757,0,0.000481144,0.000481144,0.000481144
69,12008.4,1.02222,1.4111,0.5108,0.96056,0,0.89782,0.87672,0.89618,0.59364,0.89774,0.8738,0.89395,0.5663,1.26336,1.9963,0.57985,1.11865,0,0.000466997,0.000466997,0.000466997
70,12119.7,1.0132,1.4095,0.50706,0.95012,0,0.88376,0.88036,0.90166,0.59189,0.91988,0.84214,0.89731,0.56666,1.2695,2.0074,0.57066,1.12053,0,0.00045285,0.00045285,0.00045285
71,12346.2,1.01391,1.41223,0.50815,0.96083,0,0.89827,0.86072,0.90008,0.59547,0.89538,0.85909,0.89539,0.56892,1.25951,1.97647,0.56941,1.11099,0,0.000438703,0.000438703,0.000438703
72,12665.8,0.99407,1.39423,0.49349,0.95593,0,0.91565,0.85321,0.89756,0.59288,0.91236,0.85706,0.89948,0.56866,1.26781,1.98842,0.57349,1.12365,0,0.000424556,0.000424556,0.000424556
73,12777.1,1.00071,1.3846,0.49507,0.95563,0,0.92139,0.84904,0.90033,0.59317,0.9221,0.84999,0.89988,0.56728,1.26888,1.99694,0.56015,1.12624,0,0.000410409,0.000410409,0.000410409
